"x","y"
65.4723928077146,57.487219828181
35.3197271935642,7.70643802825361
27.0260145887733,3.55405795853585
99.268406117335,64.2795492196456
63.3493264438584,92.8615199634805
21.3208135217428,59.8092422354966
12.9372348077595,56.0900748008862
47.8118034312502,52.6027723914012
92.4074469832703,98.5095223877579
59.876096714288,50.7641822332516
97.6170694921166,68.2788078673184
73.1792511884123,60.1541217649356
35.6726912083104,23.8868677755818
43.1473690550774,25.8165926672518
14.8211560677737,72.9309623362496
1.30775754805654,45.2570831403136
71.5566066093743,17.5126768415794
10.3184235747904,74.6698269620538
44.6284348610789,10.4987640399486
64.0101045137271,86.4544949028641
99.1838620044291,61.4644971676171
49.5593577856198,55.7159538846463
48.4349524369463,32.8777319053188
17.3442334868014,45.3131445450708
75.4820944508538,50.0440972624347
45.3895489219576,18.0866361130029
51.1169783771038,52.9630602803081
20.7545113284141,7.52757457084954
22.8658142732456,27.7755932649598
59.5711996313184,21.2699519237503
